id;descripcion;precio_normal;precio_descuento;imagen_url;tallas;categoria
563;Camiseta para niño manga corta;65990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
564;Camiseta para niño de transformers manga corta;65990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
565;Bermuda para niño;85990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
566;Buzo para niño cerrado con capucha;139990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
567;Pantalón wide leg para niño;145990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
568;Camiseta polo manga corta para niño;79990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/858687/51343661-Azul-19-3921_1.jpg?v=638562229182100000;10, 12, 14, 16, 8;Niños
569;Sudadera para niño;115990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
570;Camiseta para niño manga corta;69990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
571;Conjunto para niño de camiseta manga corta + bermuda;159990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
572;Camiseta manga corta + máscara para niño;75990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
573;Camiseta para niño de transformers manga corta;65990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
574;Camiseta polo manga corta para niño;79990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/858682/51343671-Amarillo-11-0604_1.jpg?v=638562221574000000;10, 12, 14, 16, 8;Niños
575;Camisa para niño manga corta;105990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
576;Tenis para niño deportivos;175990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
577;Camisa para niño manga larga;129990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
578;Camisa para niño manga larga;129990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
579;Tenis para niño deportivos;169990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
580;Medias para niño caña larga;19990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/856106/51193392-Amarillo-12-0824_1.jpg?v=638540342494730000;6-8, 8-10, 9-11;Niños
581;Medias para niño caña larga;19990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/856103/51193391-Azul-13-4304_1.jpg?v=638540342390270000;6-8, 8-10, 9-11;Niños
582;Camiseta para niño manga corta;65990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
583;Jean para niño silueta super slim;139990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
584;Camiseta para niño tipo polo;79990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
585;Sudadera para niño;69594.00;115990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
586;Medias para niño caña larga;19990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/856109/51193393-Negro-19-4008_1.jpg?v=638540342630830000;6-8, 8-10, 9-11;Niños
587;Conjunto para niño de camiseta + pantalón;165990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
