Categoría,Página,Posición,Descripción,Precio Normal,Precio Descuento,Imagen URL,Tallas
Niñas,1,5,Sandalias para niña con correas,135990.0,,https://offcorss.vtexassets.com/arquivos/ids/866392/Sandalias-para-niña-con-correas.jpg?v=638615953545370000,"30, 31, 32, 33, 34, 35, 36, 37"
Niñas,1,6,Gorra para niña,55990.0,,https://offcorss.vtexassets.com/arquivos/ids/867381/Gorra-para-niña.jpg?v=638615959490830000,"L, M, S"
Niñas,1,7,Enterizo para niña,140990.0,,https://offcorss.vtexassets.com/arquivos/ids/867181/Enterizo-para-niña.jpg?v=638615958444200000,"10, 12, 14, 16, 8"
Niñas,1,8,Camiseta para niña manga corta,59990.0,,https://offcorss.vtexassets.com/arquivos/ids/870360/52346002-Amarillo-11-0604_1.jpg?v=638640744313630000,"12, 14, 16, 8"
Niñas,1,9,Vestido de tiras para niña,115990.0,,https://offcorss.vtexassets.com/arquivos/ids/866866/Vestido-de-tiras-para-niña.jpg?v=638615956882570000,"10, 12, 14, 16, 8"
Niñas,1,10,Pantalón para niña wide leg con prenses,135990.0,,https://offcorss.vtexassets.com/arquivos/ids/867191/Pantalon-para-niña-wide-leg-con-prenses.jpg?v=638615958493100000,"10, 12, 14, 16, 8"
Niñas,1,11,Camiseta para niña con bordado,69990.0,,https://offcorss.vtexassets.com/arquivos/ids/867233/Camiseta-para-niña-con-bordado.jpg?v=638615958696130000,"10, 12, 14, 16, 8"
Niñas,1,12,Short para niña en denim con cortes,115990.0,,https://offcorss.vtexassets.com/arquivos/ids/866906/Short-para-niña-en-denim-con-cortes.jpg?v=638615957104070000,"10, 12, 14, 16, 8"
Niñas,1,13,Chaqueta blazer para niña con bolsillos,155990.0,,https://offcorss.vtexassets.com/arquivos/ids/867171/Chaqueta-blazer-para-niña-con-bolsillos.jpg?v=638615958394530000,"L, M, S, XS, XXS"
Niñas,1,14,Buzo para niña cerrado con cuello alto,115990.0,,https://offcorss.vtexassets.com/arquivos/ids/867371/Buzo-para-niña-cerrado-con-cuello-alto.jpg?v=638615959442330000,"10, 12, 14, 16, 8"
Niñas,1,15,Conjunto para niña de camiseta + jardinera,145990.0,,https://offcorss.vtexassets.com/arquivos/ids/867146/Conjunto-para-niña-de-camiseta---jardinera.jpg?v=638615958278100000,"10, 12, 14, 16, 8"
Niñas,1,16,Conjunto para niña de camiseta + falda,149990.0,,https://offcorss.vtexassets.com/arquivos/ids/867126/Conjunto-para-niña-de-camiseta---falda.jpg?v=638615958178000000,"10, 12, 14, 16, 8"
Niñas,1,17,Tenis deportivos para niña,169990.0,,https://offcorss.vtexassets.com/arquivos/ids/866976/Tenis-deportivos-para-niña.jpg?v=638615957462400000,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39"
Niñas,1,18,Tenis para niña casuales,175990.0,,https://offcorss.vtexassets.com/arquivos/ids/867036/Tenis-para-niña-casuales.jpg?v=638615957748600000,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39"
Niñas,1,19,Chaqueta parka para niña,189990.0,,https://offcorss.vtexassets.com/arquivos/ids/867361/Chaqueta-parka-para-niña.jpg?v=638615959394170000,"L, M, S, XS, XXS"
Niñas,1,20,Vestido para niña con abertura en espalda,125990.0,,https://offcorss.vtexassets.com/arquivos/ids/866856/Vestido-para-niña-con-abertura-en-espalda.jpg?v=638615956832000000,"10, 12, 14, 16, 8"
Niñas,1,21,Camiseta para niña manga corta,59990.0,,https://offcorss.vtexassets.com/arquivos/ids/870354/52346001-Amarillo-11-0616_1.jpg?v=638640738775670000,"10, 12, 14, 16, 8"
